unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0C-1	Home_car_KCT0P-1	Home_car_KT05BgC-1	Home_car_KT05T2C-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Home_car_Y-SB-1	Home_car_Y-SC-1	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Aspergillus_welwitschiae	2.829337529	0	0	1.762930371	0	0	0	0	0	0	0	0	0	0	0	1.471557731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_graminearum	2.600770579	0	0	1.766755415	0	2.017445222	0	0	0	1.96150239	0	0	0	0	0	1.950129587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrenophora_tritici_repentis	0	0	2.201502265	1.851582211	1.791237307	1.968767486	1.58178515	0	0	0	0	0	0	0	0	1.60203384	2.357221381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cercospora_beticola	1.076360884	0	2.21629494	1.602536823	1.53682065	1.859630569	1.711895978	0	0	1.211101152	0	1.044275069	0	0	0	2.42267006	1.23370286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_oryzae	0	0	2.757647902	1.976980946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureobasidium_subglaciale	1.994536591	0	0	1.933512232	2.382522299	2.170941368	1.578314402	0	0	0	0	0	0	0	0	1.100273675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Debaryomyces_fabryi	2.497960073	0	0	0	0	0	0	0	0	2.07911788	2.266560943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moesziomyces_antarcticus	1.773841175	0	0	1.169523522	0	1.948220179	1.449559012	0	0	1.995253939	1.761720385	0	0	1.916428152	0	2.038535078	1.519028288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_atroviride	1.995575875	0	0	1.73963766	0	2.205910936	1.81684378	0	0	2.001771608	0	0	0	0	0	1.513661686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parastagonospora_nodorum	1.968254322	0	0	1.837511133	2.15866994	2.022749397	1.581072017	0	0	0	1.425455536	0	0	0	0	0.889539021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilago_maydis	0	0	0	1.834713867	1.776739986	1.829001058	1.662382127	0	0	0	0	0	0	0	0	1.728298785	2.145519384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyberlindnera_jadinii	0	0	0	0	0	0	0	0	0	0	2.629235442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Byssochlamys_spectabilis	0	0	2.312666985	1.439519284	0	1.887504524	0	0	0	0	0	0	0	0	0	1.468645159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoderma_harzianum	0	0	0	1.690125189	0	1.709364218	0	0	2.325908709	1.057904894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_victoriae	0	0	0	1.759202052	0	2.115778719	0	0	0	0	0	0	0	0	0	2.106823846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichophyton_rubrum	0	0	0	2.170952685	0	0	0	0	0	1.95862037	1.564247621	0	0	0	0	1.54628008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beauveria_bassiana	1.956782942	0	0	1.638278767	0	1.852114052	1.56073199	0	0	1.54407404	0	0	0	0	0	1.254588854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyphellophora_europaea	1.775597245	0	0	1.706959731	0	1.810727788	1.671681256	0	0	0	1.842773348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_maydis	2.057840123	0	0	2.078826188	0	0	0	0	0	0	1.448927676	0	0	0	0	1.211510533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melampsora_larici_populina	0	0	0	1.646991827	2.206479525	0	1.239543038	0	0	0	0	0	0	0	0	1.509558711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclerotinia_sclerotiorum	0	0	0	1.394848832	0	0	0	0	0	0	0	0	0	0	0	2.351660377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_nidulans	1.891581139	0	0	1.47853284	0	0	0	0	0	1.624902425	0	0	0	0	0	1.214078317	1.880749087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_zeicola	0	0	0	2.051382768	0	0	0	0	0	0	0	0	0	0	0	2.11010062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
