SampleID	Group	Abundance	Species	Dist
S144	8_0.01ng	0.092961291	Cutibacterium_acnes	
S145	8_0.01ng	0.029702822	Bifidobacterium_adolescentis	
S146	8_0.01ng	0.062674383	Deinococcus_radiodurans	
S147	8_0.01ng	0.053395445	Porphyromonas_gingivalis	
S148	8_0.01ng	0.073983883	Bacteroides_vulgatus	
S149	8_0.01ng	0.027893286	Schaalia_odontolytica	
S150	8_0.01ng	0.058439798	Neisseria_meningitidis	
S151	8_0.01ng	0.103181661	Acinetobacter_baumannii	
S152	8_0.01ng	0	Bacillus_cereus	
S153	8_0.01ng	0.061936355	Enterococcus_faecalis	
S154	8_0.01ng	0.067593995	Clostridium_beijerinckii	
S155	8_0.01ng	0	Staphylococcus_aureus	
S156	8_0.01ng	0.112541011	Lactobacillus_gasseri	
S157	8_0.01ng	0	Streptococcus_agalactiae	
S158	8_0.01ng	0.082063031	Streptococcus_mutans	
S159	8_0.01ng	0.06208279	Helicobacter_pylori	
S160	8_0.01ng	0	Staphylococcus_epidermidis	
S161	X0.001ng	0.028335675	Pseudomonas_aeruginosa	0.512 
S162	X0.001ng	0.01919085	Rhodobacter_sphaeroides	
S163	X0.001ng	0	Escherichia_coli	
S164	X0.001ng	0.261483504	Cutibacterium_acnes	
S165	X0.001ng	0.023823845	Bifidobacterium_adolescentis	
S166	X0.001ng	0.026350897	Deinococcus_radiodurans	
S167	X0.001ng	0.038812015	Porphyromonas_gingivalis	
S168	X0.001ng	0.068644889	Bacteroides_vulgatus	
S169	X0.001ng	0.019302603	Schaalia_odontolytica	
S170	X0.001ng	0	Neisseria_meningitidis	
S171	X0.001ng	0.095049076	Acinetobacter_baumannii	
S172	X0.001ng	0	Bacillus_cereus	
S173	X0.001ng	0.036301949	Enterococcus_faecalis	
S174	X0.001ng	0.055636471	Clostridium_beijerinckii	
S175	X0.001ng	0	Staphylococcus_aureus	
S176	X0.001ng	0.056665114	Lactobacillus_gasseri	
S177	X0.001ng	0	Streptococcus_agalactiae	
S178	X0.001ng	0.119108125	Streptococcus_mutans	
S179	X0.001ng	0.066807019	Helicobacter_pylori	
S180	X0.001ng	0.084487968	Staphylococcus_epidermidis	
